"name","rating","votes","address","phone","link"
"Manthan Centre For Counsell..","3.6","
														18														Votes
			","807 Aditya Complex, Navrangpura, Ahmedabad - 380009, Near Mithakali Six Roads Khadayata Colony","+(91)-9152154718","https://www.justdial.com/Ahmedabad/Manthan-Centre-For-Counselling-Near-Mithakali-Six-Roads-Khadayata-Colony-Navrangpura/079PF017102_BZDET?xid=QWhtZWRhYmFkIENhcmVlciBDb3Vuc2VsbGluZyBDZW50cmVz"
"Sachin Bhatnagars The Caree..","5.0","
														385														Votes
			","2nd & 3rd Floor Privillion East Wing, Sarkhej Gandhinagar Highway, Ahmedabad - 380054","+(91)-9302510470","https://www.justdial.com/Ahmedabad/Sachin-Bhatnagars-The-Career-Counselling-Centre-Sarkhej-Gandhinagar-Highway/079PXX79-XX79-180713132239-H8F7_BZDET?xid=QWhtZWRhYmFkIENhcmVlciBDb3Vuc2VsbGluZyBDZW50cmVz"
"Simon George","4.9","
														4														Votes
			","10, Pragati Society, Bodakdev, Ahmedabad - 380054, Near Upper Crust and Vastrapur Lake","+(91)-9152223146","https://www.justdial.com/Ahmedabad/Simon-George-Near-Upper-Crust-and-Vastrapur-Lake-Bodakdev/079PXX79-XX79-190530174300-U9J3_BZDET?xid=QWhtZWRhYmFkIENhcmVlciBDb3Vuc2VsbGluZyBDZW50cmVz"
"Sapna Agency","2.5","
														3														Votes
			","F-506,Suprabha Appartment, Bakeri City,Makarba Road, Vejalpur, Ahmedabad - 380051, Near Sonal Cinema ,Nadeshwari","+(91)-9152162140","https://www.justdial.com/Ahmedabad/Sapna-Agency-Near-Sonal-Cinema-Nadeshwari-Vejalpur/079PXX79-XX79-150102180122-T7R4_BZDET?xid=QWhtZWRhYmFkIENhcmVlciBDb3Vuc2VsbGluZyBDZW50cmVz"
"Dr Jay Parmar","5.0","
														1														Votes
			","B 206 Shilp Aaron Oppositie Armedia Sindhubhavan Road Naer Pakwan Cross Road Bodakdev, Bodakdev, Ahmedabad - 380054, Opposite Pakwan Cross Road","+(91)-9152760861","https://www.justdial.com/Ahmedabad/Dr-Jay-Parmar-Opposite-Pakwan-Cross-Road-Bodakdev/079PXX79-XX79-190529122956-L5C4_BZDET?xid=QWhtZWRhYmFkIENhcmVlciBDb3Vuc2VsbGluZyBDZW50cmVz"
"Strengthen A Child And Pare..","4.9","
														5														Votes
			","Vastrapur, Vastrapur, Ahmedabad - 380015, Opposite Vastrapur Lake","+(91)-9624077144","https://www.justdial.com/Ahmedabad/Strengthen-A-Child-And-Parental-Guidance-Clinic-Opposite-Vastrapur-Lake-Vastrapur/079PXX79-XX79-131227111008-K6V8_BZDET?xid=QWhtZWRhYmFkIENhcmVlciBDb3Vuc2VsbGluZyBDZW50cmVz"
"Mind Master Brain Wellness ..","4.6","
														188														Votes
			","251, Satyam Mall, Near Kameshwar School Road, Vastrapur, Ahmedabad - 380015, Near Jodhpur Char Rasta, Satellite","+(91)-9152168994","https://www.justdial.com/Ahmedabad/Mind-Master-Brain-Wellness-Center-Near-Jodhpur-Char-Rasta-Satellite-Vastrapur/079PXX79-XX79-110604145336-Q7U8_BZDET?xid=QWhtZWRhYmFkIENhcmVlciBDb3Vuc2VsbGluZyBDZW50cmVz"
"Brainwonders","5.0","
														11														Votes
			","B-204, Titanium City Center, Prahlad Nagar to Shyamal Road, Satellite, Ahmedabad - 380015, Seema Hall","+(91)-9152165883","https://www.justdial.com/Ahmedabad/Brainwonders-Seema-Hall-Satellite/079PXX79-XX79-190301143025-E6B9_BZDET?xid=QWhtZWRhYmFkIENhcmVlciBDb3Vuc2VsbGluZyBDZW50cmVz"
"Nmims University","4.5","
														1														Votes
			","305 Shalin Complex, Krishna Baug Cross Road, Maninagar, Ahmedabad - 380008, Maninagar Police Station","+(91)-9152478439","https://www.justdial.com/Ahmedabad/Nmims-University-Maninagar-Police-Station-Maninagar/079PXX79-XX79-190923122723-W3E2_BZDET?xid=QWhtZWRhYmFkIENhcmVlciBDb3Vuc2VsbGluZyBDZW50cmVz"
"Alternate HR Solutions Pvt ..","3.7","
														22														Votes
			","505, 4th Floor, B K House,, C G Road, Ahmedabad - 380009, Opposite SBI, Near Stadium Circle,","+(91)-9152155443","https://www.justdial.com/Ahmedabad/Alternate-HR-Solutions-Pvt-Ltd-Opposite-SBI-Near-Stadium-Circle-C-G-Road/079PXX79-XX79-100512141900-E8B9_BZDET?xid=QWhtZWRhYmFkIENhcmVlciBDb3Vuc2VsbGluZyBDZW50cmVz"
