"name","rating","votes","address","phone","link"
"Brain Wonders","4.9","
														17														Votes
			","B -02 , CENTER POINT NO 7, EDWARD ROAD, New Bank Colony, Bangalore - 560062, OPP to CHAI POINT CUNNINGHAM ROAD","+(91)-9152123630","https://www.justdial.com/Bangalore/Brain-Wonders-OPP-to-CHAI-POINT-CUNNINGHAM-ROAD-New-Bank-Colony/080PXX80-XX80-180118120125-W8E9_BZDET?xid=QmFuZ2Fsb3JlIENhcmVlciBDb3Vuc2VsbGluZyBDZW50cmVz"
"BRAINCHECKER","4.9","
														23														Votes
			","B 2153, Shoba Tulip,, 24th  Main, Jp Nagar 6th Phase, Bangalore - 560078, Near Royal English School","+(91)-9152121316","https://www.justdial.com/Bangalore/BRAINCHECKER-Near-Royal-English-School-Jp-Nagar-6th-Phase/080PXX80-XX80-200116130253-V4J3_BZDET?xid=QmFuZ2Fsb3JlIENhcmVlciBDb3Vuc2VsbGluZyBDZW50cmVz"
"Bhandhavya","4.8","
														9														Votes
			","No 14, 3rd Cross, Sanjay Nagar, Bangalore - 560094, Near Poorvika Mobiles","+(91)-9152756723","https://www.justdial.com/Bangalore/Bhandhavya-Near-Poorvika-Mobiles-Sanjay-Nagar/080PXX80-XX80-190514171136-G1U6_BZDET?xid=QmFuZ2Fsb3JlIENhcmVlciBDb3Vuc2VsbGluZyBDZW50cmVz"
"Dr Asha Sidd Academy","5.0","
														3														Votes
			","No 106, 4th Main, Malleswaram, Bangalore - 560003, Opp to Bp Indian High School","+(91)-9152645945","https://www.justdial.com/Bangalore/Dr-Asha-Sidd-Academy-Opp-to-Bp-Indian-High-School-Malleswaram/080PXX80-XX80-150516131715-J4Z3_BZDET?xid=QmFuZ2Fsb3JlIENhcmVlciBDb3Vuc2VsbGluZyBDZW50cmVz"
"Vidyapurna Technics","4.8","
														21														Votes
			","Manish Priyamvada Apartments, 7th Main, 18th Cross, BTM 2nd Stage, Bangalore - 560076, Near Homeneeds Supermarket","+(91)-9152851358","https://www.justdial.com/Bangalore/Vidyapurna-Technics-Near-Homeneeds-Supermarket/080PXX80-XX80-190403105554-A3I1_BZDET?xid=QmFuZ2Fsb3JlIENhcmVlciBDb3Vuc2VsbGluZyBDZW50cmVz"
"Dr. Vimala Clinical Psychol..","4.5","
														6														Votes
			","No 11 and 12, 12th F Main Road, Bommanahalli, Bangalore - 560068, Shetty S Hospital","+(91)-9152721055","https://www.justdial.com/Bangalore/Dr-Vimala-Clinical-Psychologist-Shetty-S-Hospital-Bommanahalli/080PXX80-XX80-190719173305-E4W9_BZDET?xid=QmFuZ2Fsb3JlIENhcmVlciBDb3Vuc2VsbGluZyBDZW50cmVz"
"Reachh Shubhodaya","4.5","
														15														Votes
			","No.300, 6th Cross,Arekere Mico Layout, Bannerghatta Road, Bangalore - 560076, Near Mico Layout Bus Stand","+(91)-9152340268","https://www.justdial.com/Bangalore/Reachh-Shubhodaya-Near-Mico-Layout-Bus-Stand-Bannerghatta-Road/080PXX80-XX80-150818140047-C9S8_BZDET?xid=QmFuZ2Fsb3JlIENhcmVlciBDb3Vuc2VsbGluZyBDZW50cmVz"
"Mr D Rao","3.5","
														2														Votes
			","No 621, Banashankari 2nd Stage, Bangalore - 560070","+(91)-9845326787","https://www.justdial.com/Bangalore/Mr-D-Rao-Banashankari-2nd-Stage/080PXX80-XX80-170323151309-V5W4_BZDET?xid=QmFuZ2Fsb3JlIENhcmVlciBDb3Vuc2VsbGluZyBDZW50cmVz"
"Light For You Shubha Sankal..","5.0","
														7														Votes
			","No. 592 First Floor, JSR ARCADE 13TH CROSS ROAD, Vidyaranyapura, Bangalore - 560097, Opposite Durga Temple Arch","+(91)-9152338973","https://www.justdial.com/Bangalore/Light-For-You-Shubha-Sankalpa-Opposite-Durga-Temple-Arch-Vidyaranyapura/080PXX80-XX80-190323053256-R1G2_BZDET?xid=QmFuZ2Fsb3JlIENhcmVlciBDb3Vuc2VsbGluZyBDZW50cmVz"
"Vishwa Jyothi Correspondenc..","4.3","
														6														Votes
			","No 38/3 1st Floor Jai Munirao Circle Agrahara Dasarahalli Magadi Main Road, Magadi Main Road, Agrahara Dasarahalli, Bangalore - 560079, Opp to Madhu Hosiptal","+(91)-9152881118","https://www.justdial.com/Bangalore/Vishwa-Jyothi-Correspondence-College-Opp-to-Madhu-Hosiptal-Agrahara-Dasarahalli/080PXX80-XX80-160216124305-G6U5_BZDET?xid=QmFuZ2Fsb3JlIENhcmVlciBDb3Vuc2VsbGluZyBDZW50cmVz"
"Tiru International Public S..","4.8","
														32														Votes
			","Villa No-: 29, Phase -2 ,Block-ASTER , Liberty Acres Golden Homes, Indebelle,Attibele, Attibele, Bangalore - 562107, Near Fish Land Restaurant","+(91)-9152593550","https://www.justdial.com/Bangalore/Tiru-International-Public-Speaking-Tutor-Near-Fish-Land-Restaurant-Attibele/080PXX80-XX80-180428182824-G2T9_BZDET?xid=QmFuZ2Fsb3JlIENhcmVlciBDb3Vuc2VsbGluZyBDZW50cmVz"
"Sai Career Consultancy Serv..","3.5","
														2														Votes
			","1025, 30 Th Main, Uttarahalli, Bangalore - 560061, Poorna Prajna Layout","+(91)-9152833281","https://www.justdial.com/Bangalore/Sai-Career-Consultancy-Services-Poorna-Prajna-Layout-Uttarahalli/080PXX80-XX80-200311171556-L5I1_BZDET?xid=QmFuZ2Fsb3JlIENhcmVlciBDb3Vuc2VsbGluZyBDZW50cmVz"
"Enconfide Counselling Servi..","4.8","
														9														Votes
			","No 397, Bhuvaneshwari Nagar, Banashankari 3rd Stage, Bangalore - 560085, Behind Brand Factory","+(91)-9845101192","https://www.justdial.com/Bangalore/Enconfide-Counselling-Services-Behind-Brand-Factory-Banashankari-3rd-Stage/080PXX80-XX80-180810180509-A3B7_BZDET?xid=QmFuZ2Fsb3JlIENhcmVlciBDb3Vuc2VsbGluZyBDZW50cmVz"
"Infinite Mind Infinite Grac..","4.5","
														4														Votes
			","No 1 & 2 ,J Bolck 1802,Prince Town Apartment Kumar Propreties, Shettyhalli, Jalahalli West, Bangalore - 560015, Near Airforce Technical College","+(91)-9886640277","https://www.justdial.com/Bangalore/Infinite-Mind-Infinite-Grace-Near-Airforce-Technical-College-Jalahalli-West/080PXX80-XX80-170712152927-U4F1_BZDET?xid=QmFuZ2Fsb3JlIENhcmVlciBDb3Vuc2VsbGluZyBDZW50cmVz"
"Sampoorn Pre School","4.6","
														66														Votes
			","No.23, Ct Bed Road,7th Cross, Banashankari 2nd Stage, Bangalore - 560070, Behind Indira Nursing Home","+(91)-80-26699404","https://www.justdial.com/Bangalore/Sampoorn-Pre-School-Behind-Indira-Nursing-Home-Banashankari-2nd-Stage/080PXX80-XX80-160629154053-D3I4_BZDET?xid=QmFuZ2Fsb3JlIENhcmVlciBDb3Vuc2VsbGluZyBDZW50cmVz"
"Bangalore Hypnosis Institut..","4.0","
														7														Votes
			","No.12/2, Davis Road Signal, Frazer Town, Bangalore - 560005, Between Lingrajpuram Flyover and Frazer Town Police Station","+(91)-80-25472672","https://www.justdial.com/Bangalore/Bangalore-Hypnosis-Institute-Between-Lingrajpuram-Flyover-and-Frazer-Town-Police-Station-Frazer-Town/080PPO00034_BZDET?xid=QmFuZ2Fsb3JlIENhcmVlciBDb3Vuc2VsbGluZyBDZW50cmVz"
"Campus Continents Education..","4.5","
														123														Votes
			","No 86, Gokul Tower, Dr M   S  Ramaiah Road, Gokula Extension, Bangalore - 560054, Near Divya MSR Gateway","+(91)-7406541111","https://www.justdial.com/Bangalore/Campus-Continents-Educational-Research-Center-Near-Divya-MSR-Gateway-Gokula-Extension/080PXX80-XX80-170712130540-H9S2_BZDET?xid=QmFuZ2Fsb3JlIENhcmVlciBDb3Vuc2VsbGluZyBDZW50cmVz"
"Soni INDIA Marketing Compan..","4.2","
														47														Votes
			","317 Saffron Complex, Fateganj, Vadodara - 390002, Near Narhari Hospital","+(91)-9328239000","https://www.justdial.com/Vadodara/Soni-INDIA-Marketing-Company-Near-Narhari-Hospital-Fateganj/0265PX265-X265-150813163648-F8W9_BZDET?xid=QmFuZ2Fsb3JlIENhcmVlciBDb3Vuc2VsbGluZyBDZW50cmVz"
"Wesf","5.0","
														6														Votes
			","F-122, Katwaria Sarai, Delhi - 110016, Iit Delhi","+(91)-9152254008","https://www.justdial.com/Delhi/Wesf-Iit-Delhi-Katwaria-Sarai/011PXX11-XX11-190617120015-F6R7_BZDET?xid=QmFuZ2Fsb3JlIENhcmVlciBDb3Vuc2VsbGluZyBDZW50cmVz"
"Edge Academy","4.2","
														382														Votes
			","1-B-24, Mahaveer Nagar Extension, Kota-Rajasthan - 324005, Opposite Agni Shaman Kendra","+(91)-9461155543","https://www.justdial.com/Kota-Rajasthan/Edge-Academy-Opposite-Agni-Shaman-Kendra-Mahaveer-Nagar-Extension/9999PX744-X744-170331115735-F2L2_BZDET?xid=QmFuZ2Fsb3JlIENhcmVlciBDb3Vuc2VsbGluZyBDZW50cmVz"
"Pari Bharwani","4.2","
														5														Votes
			","18/8 Agicha House, R.A.K Marg, Wadala West, Mumbai - 400031, Opp to SBI Bank","+(91)-9152358762","https://www.justdial.com/Mumbai/Pari-Bharwani-Opp-to-SBI-Bank-Wadala-West/022PXX22-XX22-190704153229-Z3X4_BZDET?xid=QmFuZ2Fsb3JlIENhcmVlciBDb3Vuc2VsbGluZyBDZW50cmVz"
"Arihant Group Of College","4.3","
														146														Votes
			","Vill. Shantershah Post. Dollatpur, Oppt. Hotel Sarover Portico Roorkee Haridwar Highway Distt. Haridwar, Haridwar - 249402, Near Cristal World","+(91)-9759385777","https://www.justdial.com/Haridwar/Arihant-Group-Of-College-Near-Cristal-World/9999P1334-1334-181026202127-B6M5_BZDET?xid=QmFuZ2Fsb3JlIENhcmVlciBDb3Vuc2VsbGluZyBDZW50cmVz"
