"name","rating","votes","address","phone","link"
"Sugam Psychological Counsel..","4.5","
														11														Votes
			","No. 73/4, A C Block,, 1st Street, Anna Nagar, Chennai - 600040, Opp Saravana Bhavan","+(91)-9152328949","https://www.justdial.com/Chennai/Sugam-Psychological-Counselling-Research-Centre-Opp-Saravana-Bhavan-Anna-Nagar/044PXX44-XX44-100420100252-G5X6_BZDET?xid=Q2hlbm5haSBDYXJlZXIgQ291bnNlbGxpbmcgQ2VudHJlcw=="
"Nextgen Trainers","3.5","
														2														Votes
			","No 32/72, Arimuthu Street, Choolai, Chennai - 600112, Near Purasawalkam Dowton","+(91)-9152417610","https://www.justdial.com/Chennai/Nextgen-Trainers-Near-Purasawalkam-Dowton-Choolai/044PXX44-XX44-180705172504-E1K2_BZDET?xid=Q2hlbm5haSBDYXJlZXIgQ291bnNlbGxpbmcgQ2VudHJlcw=="
"Emocare","4.6","
														65														Votes
			","No 14/3, Bala Krishnan Street, Ambattur, Chennai - 600053, Ear By Umas Beauty Parlour","+(91)-9152835523","https://www.justdial.com/Chennai/Emocare-Ear-By-Umas-Beauty-Parlour-Ambattur/044PXX44-XX44-130104152621-A2J3_BZDET?xid=Q2hlbm5haSBDYXJlZXIgQ291bnNlbGxpbmcgQ2VudHJlcw=="
"J R Life Coaching & Counsel..","4.6","
														26														Votes
			","No 21, Muthu Street, Villivakkam, Chennai - 600049, Near Andhara Bank Rajaji Nagar","+(91)-9152437993","https://www.justdial.com/Chennai/J-R-Life-Coaching-Counselling-Near-Andhara-Bank-Rajaji-Nagar-Villivakkam/044PXX44-XX44-160830143106-W6Z2_BZDET?xid=Q2hlbm5haSBDYXJlZXIgQ291bnNlbGxpbmcgQ2VudHJlcw=="
"Vibhu Healthcare LLP","3.5","
														2														Votes
			","No 514/2A, Thiru Floor,, Anna Nagar 3rd Avenue, NSK Nagar,, Arumbakkam, Chennai - 600106, Opposite Siddha Medical College & Anna Arch Near","+(91)-9152311917","https://www.justdial.com/Chennai/Vibhu-Healthcare-LLP-Opposite-Siddha-Medical-College-Anna-Arch-Near-Arumbakkam/044PXX44-XX44-200110185546-Q3S7_BZDET?xid=Q2hlbm5haSBDYXJlZXIgQ291bnNlbGxpbmcgQ2VudHJlcw=="
"Dave Consultancy","4.3","
														7														Votes
			","Sorrento Building, No. 6, 4th Floor, LB Road, Adyar, Chennai - 600020, Adyar Signal","+(91)-9152642367","https://www.justdial.com/Chennai/Dave-Consultancy-Adyar-Signal-Adyar/044PXX44-XX44-120402160915-H2P3_BZDET?xid=Q2hlbm5haSBDYXJlZXIgQ291bnNlbGxpbmcgQ2VudHJlcw=="
"Turning Point","3.9","
														39														Votes
			","No B 184/2, 11th Avenue, Ashok Nagar, Chennai - 600083, Opp to District Library","+(91)-9152657592","https://www.justdial.com/Chennai/Turning-Point-Opp-to-District-Library-Ashok-Nagar/044PXX44-XX44-100405174853-T4J5_BZDET?xid=Q2hlbm5haSBDYXJlZXIgQ291bnNlbGxpbmcgQ2VudHJlcw=="
"Students Vision Academy","4.1","
														37														Votes
			","No 50, 5th Street Venkateshwara Nagar, Kottivakkam, Chennai - 600041, Back Side KFC","+(91)-9152157989","https://www.justdial.com/Chennai/Students-Vision-Academy-Back-Side-KFC-Kottivakkam/044P1230022718B2K6Z9_BZDET?xid=Q2hlbm5haSBDYXJlZXIgQ291bnNlbGxpbmcgQ2VudHJlcw=="
"Asha Dinesh Sugam Psycholog..","4.3","
														56														Votes
			","No 73/4 A C Block, 1st Street, Anna Nagar, Chennai - 600040, Opposite Saravana Bhavan, Behind Kovai Pazhamudir Nilayam","+(91)-9152161336","https://www.justdial.com/Chennai/Asha-Dinesh-Sugam-Psychological-Counselling-And-Research-Centre-Opposite-Saravana-Bhavan-Behind-Kovai-Pazhamudir-Nilayam-Anna-Nagar/044PXX44-XX44-090727115343-K2K8_BZDET?xid=Q2hlbm5haSBDYXJlZXIgQ291bnNlbGxpbmcgQ2VudHJlcw=="
"Nakshatra Academy","4.3","
														49														Votes
			","No 6/332 Paktha Complex, Valayapathy Road, Mogappair East, Chennai - 600037, Near Fire Ball","+(91)-9489887552","https://www.justdial.com/Chennai/Nakshatra-Academy-Near-Fire-Ball-Mogappair-East/044PXX44-XX44-170121172842-G1Z1_BZDET?xid=Q2hlbm5haSBDYXJlZXIgQ291bnNlbGxpbmcgQ2VudHJlcw=="
"S Neelakantan Educational C..","4.8","
														6														Votes
			","No 12, 2nd Floor, Guha Padmakshi Apartments  , No 28/12,, Thiruvallur Salai,, ECR, Thiruvanmiyur, Chennai - 600041","+(91)-9841404049","https://www.justdial.com/Chennai/S-Neelakantan-Educational-Consultant-Thiruvanmiyur/044PXX44-XX44-180428143406-Z3Z5_BZDET?xid=Q2hlbm5haSBDYXJlZXIgQ291bnNlbGxpbmcgQ2VudHJlcw=="
"Soni INDIA Marketing Compan..","4.2","
														47														Votes
			","317 Saffron Complex, Fateganj, Vadodara - 390002, Near Narhari Hospital","+(91)-9328239000","https://www.justdial.com/Vadodara/Soni-INDIA-Marketing-Company-Near-Narhari-Hospital-Fateganj/0265PX265-X265-150813163648-F8W9_BZDET?xid=Q2hlbm5haSBDYXJlZXIgQ291bnNlbGxpbmcgQ2VudHJlcw=="
"Wesf","5.0","
														6														Votes
			","F-122, Katwaria Sarai, Delhi - 110016, Iit Delhi","+(91)-9152254008","https://www.justdial.com/Delhi/Wesf-Iit-Delhi-Katwaria-Sarai/011PXX11-XX11-190617120015-F6R7_BZDET?xid=Q2hlbm5haSBDYXJlZXIgQ291bnNlbGxpbmcgQ2VudHJlcw=="
