"name","rating","votes","address","phone","link"
"Career Pathshala","4.4","
														70														Votes
			","A4/45, 2nd Floor, Paschim Vihar, Delhi - 110063, Upstair 24x7 Store","+(91)-9152465104","https://www.justdial.com/Delhi/Career-Pathshala-Upstair-24x7-Store-Paschim-Vihar/011PXX11-XX11-170119115219-V5C8_BZDET?xid=RGVsaGkgQ2FyZWVyIENvdW5zZWxsaW5nIENlbnRyZXM="
"Ansh Education Consultancy","3.9","
														102														Votes
			","B 985, Shastri Nagar N, Delhi - 110052, Near Shastri Nagar Metro Station","+(91)-9152301101","https://www.justdial.com/Delhi/Ansh-Education-Consultancy-Near-Shastri-Nagar-Metro-Station-Shastri-Nagar-N/011PXX11-XX11-110430142231-V2Y1_BZDET?xid=RGVsaGkgQ2FyZWVyIENvdW5zZWxsaW5nIENlbnRyZXM="
"Studentsdestination.com","4.6","
														29														Votes
			","Office 404, Green vision, Vishal bhawan, Nehru Place, Delhi - 110019","+(91)-9152504537","https://www.justdial.com/Delhi/Studentsdestination-com-Nehru-Place/011PXX11-XX11-170419174141-G9G1_BZDET?xid=RGVsaGkgQ2FyZWVyIENvdW5zZWxsaW5nIENlbnRyZXM="
"WOW Factors India Pvt Ltd","4.9","
														84														Votes
			","A-1715, Green Fields Colony, Faridabad - 121003, Near Police Chowki","+(91)-9152838397","https://www.justdial.com/Delhi/WOW-Factors-India-Pvt-Ltd-Near-Police-Chowki-Green-Fields-Colony/011PXX11-XX11-181211161514-X8N8_BZDET?xid=RGVsaGkgQ2FyZWVyIENvdW5zZWxsaW5nIENlbnRyZXM="
"Kaap Edge Solutions Pvt Ltd","3.6","
														24														Votes
			","E - 28, East Of Kailash, Delhi - 110065, Near Kailash Colony Metro Station","+(91)-9152391118","https://www.justdial.com/Delhi/Kaap-Edge-Solutions-Pvt-Ltd-Near-Kailash-Colony-Metro-Station-East-Of-Kailash/011PXX11-XX11-130522101338-Z5Z8_BZDET?xid=RGVsaGkgQ2FyZWVyIENvdW5zZWxsaW5nIENlbnRyZXM="
"Prof. Yogesh Mittal","4.6","
														4														Votes
			","E 1201, VVIP Addressess, Raj Nagar Extension Ghaziabad, Ghaziabad - 201017","+(91)-9152653670","https://www.justdial.com/Delhi/Prof-Yogesh-Mittal-Raj-Nagar-Extension-Ghaziabad/011PXX11-XX11-191014152053-P6P5_BZDET?xid=RGVsaGkgQ2FyZWVyIENvdW5zZWxsaW5nIENlbnRyZXM="
"Mukta Joshi Counsellor & Co..","4.5","
														31														Votes
			","SD-52, Pitampura, Delhi - 110034, Near Hitachi Showroom","+(91)-9152911740","https://www.justdial.com/Delhi/Mukta-Joshi-Counsellor-Coach-Near-Hitachi-Showroom-Pitampura/011PXX11-XX11-190711133829-P1S5_BZDET?xid=RGVsaGkgQ2FyZWVyIENvdW5zZWxsaW5nIENlbnRyZXM="
"Improve Life Human Value Ma..","4.1","
														15														Votes
			","Plot No. 16 (GF), Road No. 70, West Punjabi Bagh, Delhi - 110026, Opp Saraswati Bal Mandir School","+(91)-9152797269","https://www.justdial.com/Delhi/Improve-Life-Human-Value-Management-PVT-LTD-Opp-Saraswati-Bal-Mandir-School-West-Punjabi-Bagh/011PXX11-XX11-100406122040-E2H8_BZDET?xid=RGVsaGkgQ2FyZWVyIENvdW5zZWxsaW5nIENlbnRyZXM="
"Nutricure Diet By Dt. Kavit..","4.9","
														33														Votes
			","Shop No. 36, DDA Market H Block, Vikaspuri, K R Mangalam Sch, Vikaspuri, Delhi - 110018, Near Anytime Fitness Gym","+(91)-9152228946","https://www.justdial.com/Delhi/Nutricure-Diet-By-Dt-Kavita-Sharma-Near-Anytime-Fitness-Gym-Vikaspuri/011PXX11-XX11-171005145027-S9B2_BZDET?xid=RGVsaGkgQ2FyZWVyIENvdW5zZWxsaW5nIENlbnRyZXM="
"Edushree Career Skills Acad..","4.1","
														6														Votes
			","No 42, Pocket 14, Rohini Sector 24, Delhi - 110085, Near Vikas Bharti School","+(91)-9152362032","https://www.justdial.com/Delhi/Edushree-Career-Skills-Academy-Near-Vikas-Bharti-School-Rohini-Sector-24/011PXX11-XX11-190505144504-L1Z3_BZDET?xid=RGVsaGkgQ2FyZWVyIENvdW5zZWxsaW5nIENlbnRyZXM="
