"name","rating","votes","address","phone","link"
"Amaze Career Guidance","4.8","
														264														Votes
			","Flat No 1K, 1st Floor, Koti Bus Terminal, Koti, Hyderabad - 500095, Opposite Koti Andhra Bank Building","+(91)-9152173936","https://www.justdial.com/Hyderabad/Amaze-Career-Guidance-Opposite-Koti-Andhra-Bank-Building-Koti/040PXX40-XX40-150805183154-P6V7_BZDET?xid=SHlkZXJhYmFkIENhcmVlciBDb3Vuc2VsbGluZyBDZW50cmVz"
"Challas Counselling Centre","4.7","
														337														Votes
			","B-401,Hema Durga Towers,Janapriya Apartments, Miyapur, Hyderabad - 500049, Behind Hotel Sitara Grand,Near Alwyn Cross Road","+(91)-9152164574","https://www.justdial.com/Hyderabad/Challas-Counselling-Centre-Behind-Hotel-Sitara-Grand-Near-Alwyn-Cross-Road-Miyapur/040PAPP20081204IRO3893489_BZDET?xid=SHlkZXJhYmFkIENhcmVlciBDb3Vuc2VsbGluZyBDZW50cmVz"
"Mind Krafts Assessment & Co..","4.2","
														41														Votes
			","Door No 1-24-121/1, Laxmi Nagar, Venkatapuram, Hyderabad - 500010, Above HDFC Bank","+(91)-9152190761","https://www.justdial.com/Hyderabad/Mind-Krafts-Assessment-Counselling-Centre-Above-HDFC-Bank-Venkatapuram/040PXX40-XX40-121009132854-W3A2_BZDET?xid=SHlkZXJhYmFkIENhcmVlciBDb3Vuc2VsbGluZyBDZW50cmVz"
"Esteem","3.5","
														2														Votes
			","Plot.No.10, Sy.No.55, Chandragiri Colony, Flat. No. 102, Trimulgherry, Hyderabad - 500015, Tirumulgherry RTO Office","+(91)-9152294470","https://www.justdial.com/Hyderabad/Esteem-Tirumulgherry-RTO-Office-Trimulgherry/040PXX40-XX40-180326155610-G7M6_BZDET?xid=SHlkZXJhYmFkIENhcmVlciBDb3Vuc2VsbGluZyBDZW50cmVz"
"Sowrya Consultancy","4.7","
														1295														Votes
			","2nd Floor, Main Road, Dilsukhnagar, Hyderabad - 500060, Above Big C, Opposite TMC","+(91)-9152330588","https://www.justdial.com/Hyderabad/Sowrya-Consultancy-Above-Big-C-Opposite-TMC-Dilsukhnagar/040PXX40-XX40-120328105526-B3I4_BZDET?xid=SHlkZXJhYmFkIENhcmVlciBDb3Vuc2VsbGluZyBDZW50cmVz"
"Edmappers Pvt Ltd","4.6","
														70														Votes
			","First Floor, Sun Towers, Above Axis Bank, Hi-Tech City Main Road, Madhapur, Hyderabad - 500081, Beside Avasa Hotels, Madhapur","+(91)-40-48505122","https://www.justdial.com/Hyderabad/Edmappers-Pvt-Ltd-Beside-Avasa-Hotels-Madhapur-Madhapur/040PXX40-XX40-170914123648-T7A9_BZDET?xid=SHlkZXJhYmFkIENhcmVlciBDb3Vuc2VsbGluZyBDZW50cmVz"
"Soni INDIA Marketing Compan..","4.2","
														47														Votes
			","317 Saffron Complex, Fateganj, Vadodara - 390002, Near Narhari Hospital","+(91)-9328239000","https://www.justdial.com/Vadodara/Soni-INDIA-Marketing-Company-Near-Narhari-Hospital-Fateganj/0265PX265-X265-150813163648-F8W9_BZDET?xid=SHlkZXJhYmFkIENhcmVlciBDb3Vuc2VsbGluZyBDZW50cmVz"
"Wesf","5.0","
														6														Votes
			","F-122, Katwaria Sarai, Delhi - 110016, Iit Delhi","+(91)-9152254008","https://www.justdial.com/Delhi/Wesf-Iit-Delhi-Katwaria-Sarai/011PXX11-XX11-190617120015-F6R7_BZDET?xid=SHlkZXJhYmFkIENhcmVlciBDb3Vuc2VsbGluZyBDZW50cmVz"
"Edge Academy","4.2","
														382														Votes
			","1-B-24, Mahaveer Nagar Extension, Kota-Rajasthan - 324005, Opposite Agni Shaman Kendra","+(91)-9461155543","https://www.justdial.com/Kota-Rajasthan/Edge-Academy-Opposite-Agni-Shaman-Kendra-Mahaveer-Nagar-Extension/9999PX744-X744-170331115735-F2L2_BZDET?xid=SHlkZXJhYmFkIENhcmVlciBDb3Vuc2VsbGluZyBDZW50cmVz"
"Pari Bharwani","4.2","
														5														Votes
			","18/8 Agicha House, R.A.K Marg, Wadala West, Mumbai - 400031, Opp to SBI Bank","+(91)-9152358762","https://www.justdial.com/Mumbai/Pari-Bharwani-Opp-to-SBI-Bank-Wadala-West/022PXX22-XX22-190704153229-Z3X4_BZDET?xid=SHlkZXJhYmFkIENhcmVlciBDb3Vuc2VsbGluZyBDZW50cmVz"
"Arihant Group Of College","4.3","
														146														Votes
			","Vill. Shantershah Post. Dollatpur, Oppt. Hotel Sarover Portico Roorkee Haridwar Highway Distt. Haridwar, Haridwar - 249402, Near Cristal World","+(91)-9759385777","https://www.justdial.com/Haridwar/Arihant-Group-Of-College-Near-Cristal-World/9999P1334-1334-181026202127-B6M5_BZDET?xid=SHlkZXJhYmFkIENhcmVlciBDb3Vuc2VsbGluZyBDZW50cmVz"
"Indian Hypnosis Institute","4.2","
														110														Votes
			","C Wing 705 B Mannubhai Tower, Sayaji Ganj, Vadodara - 390020, Opposite Art Faculty (M S University)","+(91)-9824876795","https://www.justdial.com/Vadodara/Indian-Hypnosis-Institute-Opposite-Art-Faculty-(M-S-University)-Sayaji-Ganj/0265PX265-X265-150318084659-V2P9_BZDET?xid=SHlkZXJhYmFkIENhcmVlciBDb3Vuc2VsbGluZyBDZW50cmVz"
"Business Infotech","4.0","
														796														Votes
			","Plot No 32, 1st Floor, Zone 1, M P Nagar, Bhopal - 462011, Behind Batra Hospital","+(91)-9713088788","https://www.justdial.com/Bhopal/Business-Infotech-Behind-Batra-Hospital-M-P-Nagar/0755PX755-X755-150814140818-S4R8_BZDET?xid=SHlkZXJhYmFkIENhcmVlciBDb3Vuc2VsbGluZyBDZW50cmVz"
"Admission Valley","4.6","
														57														Votes
			","G4, Lower Ground Floor, GV Mall, Boring Road Chauraha, Boring Road, Patna - 800001, Opposite Sahara Building","+(91)-9152370307","https://www.justdial.com/Patna/Admission-Valley-Opposite-Sahara-Building-Boring-Road/0612PX612-X612-180208222206-N5V5_BZDET?xid=SHlkZXJhYmFkIENhcmVlciBDb3Vuc2VsbGluZyBDZW50cmVz"
"Lead The Lives","4.8","
														405														Votes
			","College Road, Amalapuram Ho, Amalapuram - 533201, Near Hamshavani School","+(91)-8500003206","https://www.justdial.com/Amalapuram/Lead-The-Lives-Near-Hamshavani-School-Amalapuram-Ho/9999P8856-8856-170501123024-R6J4_BZDET?xid=SHlkZXJhYmFkIENhcmVlciBDb3Vuc2VsbGluZyBDZW50cmVz"
"Sanjeevani Career Guidance ..","4.9","
														232														Votes
			","70/33 - A, Bhairav Path , Patel Marg, Mansarovar, Jaipur - 302020","+(91)-9152371139","https://www.justdial.com/Jaipur/Sanjeevani-Career-Guidance-Counselling-Mansarovar/0141PX141-X141-150127234507-C9F8_BZDET?xid=SHlkZXJhYmFkIENhcmVlciBDb3Vuc2VsbGluZyBDZW50cmVz"
"My Shiksha Solutions","4.8","
														231														Votes
			","312,Third Floor, Okey Plus Square, Madhyam Marg, Mansarovar, Jaipur - 302020, Near Mansarovar Plaza","+(91)-9784171719","https://www.justdial.com/Jaipur/My-Shiksha-Solutions-Near-Mansarovar-Plaza-Mansarovar/0141PX141-X141-180829111324-D4A4_BZDET?xid=SHlkZXJhYmFkIENhcmVlciBDb3Vuc2VsbGluZyBDZW50cmVz"
"Life Abroad Consultancy Pte..","4.1","
														30														Votes
			","9D/1 , Sivan Complex, Sivantipathi Road, Maharaja Nagar, Maharaja Nagar, Tirunelveli - 627011, Near ICICI Bank and Opp to Railwaygate","+(91)-0462-2579899","https://www.justdial.com/Tirunelveli/Life-Abroad-Consultancy-Pte-Ltd-Near-ICICI-Bank-and-Opp-to-Railwaygate-Maharaja-Nagar/0462PX462-X462-180315121908-P7R3_BZDET?xid=SHlkZXJhYmFkIENhcmVlciBDb3Vuc2VsbGluZyBDZW50cmVz"
"Astro Agam","4.9","
														135														Votes
			","Flat No. 1008 ,Sky B Building,RSG The Universe ,Near Girja Vyas Petrol Pump Saveena, Hiran Magri, Udaipur-Rajasthan - 313002","+(91)-8107911911","https://www.justdial.com/Udaipur-Rajasthan/Astro-Agam-Hiran-Magri/9999PX294-X294-190408134457-N9D7_BZDET?xid=SHlkZXJhYmFkIENhcmVlciBDb3Vuc2VsbGluZyBDZW50cmVz"
"Orissa Doot Consultancy Ser..","4.1","
														247														Votes
			","Plot No 733, Sahid Nagar, Bhubaneshwar - 751007, Near Maharsee College Road","+(91)-9152201551","https://www.justdial.com/Bhubaneshwar/Orissa-Doot-Consultancy-Service-Near-Maharsee-College-Road-Sahid-Nagar/0674PX674-X674-101111162915-E8G7_BZDET?xid=SHlkZXJhYmFkIENhcmVlciBDb3Vuc2VsbGluZyBDZW50cmVz"
"Indian Career Consultants","4.3","
														198														Votes
			","20-21, 3rd Floor, L.B.S Market, Bhilwara Ho, Bhilwara - 311001, Near Gol Pyau Choraha","+(91)-9314282444","https://www.justdial.com/Bhilwara/Indian-Career-Consultants-Near-Gol-Pyau-Choraha-Bhilwara-Ho/9999P1482-1482-140930124424-Y6X8_BZDET?xid=SHlkZXJhYmFkIENhcmVlciBDb3Vuc2VsbGluZyBDZW50cmVz"
"Swami Vivekananda Universit..","4.4","
														70														Votes
			","Patel Market, Jabalpur Road, Sagar City, Sagar - 470002, Near Makroniya","+(91)-9152251822","https://www.justdial.com/Sagar/Swami-Vivekananda-University-And-Svn-Medical-Hospital-And-Research-Center-Near-Makroniya-Sagar-City/9999P7582-7582-141116204609-T6Y2_BZDET?xid=SHlkZXJhYmFkIENhcmVlciBDb3Vuc2VsbGluZyBDZW50cmVz"
"Nakshatra Niketan","4.3","
														12														Votes
			","Shop No.102, Rajiv Gandhi Civik Centre, New Road Lokendra Talkies Circle, Ratlam HO, Ratlam - 457001, New Road","+(91)-9152473055","https://www.justdial.com/Ratlam/Nakshatra-Niketan-New-Road-Ratlam-HO/9999P7412-7412-131211211521-Q9Q3_BZDET?xid=SHlkZXJhYmFkIENhcmVlciBDb3Vuc2VsbGluZyBDZW50cmVz"
"Swami Vivekanand University","4.2","
														725														Votes
			","City Office 10, University- Narsinghpur Road, Civil Line, Makronia, Sagar - 470004, Sironja","+(91)-9152560979","https://www.justdial.com/Sagar/Swami-Vivekanand-University-Sironja-Makronia/9999P7582-7582-140813154606-F8K8_BZDET?xid=SHlkZXJhYmFkIENhcmVlciBDb3Vuc2VsbGluZyBDZW50cmVz"
"CENTRAL INSTITUTE OF HOTEL ..","4.8","
														3														Votes
			","23/H Anandapuri, Kolkata - 700122, Anandapuri Post Office","+(91)-9152647452","https://www.justdial.com/Kolkata/CENTRAL-INSTITUTE-OF-HOTEL-HOSPITALITY-MANAGEMENT-Anandapuri-Post-Office/033PXX33-XX33-200119210611-P7Z8_BZDET?xid=SHlkZXJhYmFkIENhcmVlciBDb3Vuc2VsbGluZyBDZW50cmVz"
"NIIT Ltd","3.8","
														1333														Votes
			","4th Floor, Pavans Vanijya Vihar, Main Road, Ameerpet, Hyderabad - 500016, Opposite Swagath Hotel","+(91)-9152134316","https://www.justdial.com/Hyderabad/NIIT-Ltd-Opposite-Swagath-Hotel-Ameerpet/040P57800_BZDET?xid=SHlkZXJhYmFkIENhcmVlciBDb3Vuc2VsbGluZyBDZW50cmVz"
"NIIT Ltd","3.9","
														581														Votes
			","2nd Floor, 205 & 206 Babukhan Estate, Basheer Bagh, Hyderabad - 500029, Near LB Stadium","+(91)-9152330347","https://www.justdial.com/Hyderabad/NIIT-Ltd-Near-LB-Stadium-Basheer-Bagh/040PXX40-XX40-000986710096-B7V7_BZDET?xid=SHlkZXJhYmFkIENhcmVlciBDb3Vuc2VsbGluZyBDZW50cmVz"
"Nadipathy","4.2","
														357														Votes
			","Flat No 274, Nadipathy, Road No 8, Vanasthalipuram, Hyderabad - 500070, Opposite Sri Indu PG Collage, Vydehi Nagar","+(91)-8885011321","https://www.justdial.com/Hyderabad/Nadipathy-Opposite-Sri-Indu-PG-Collage-Vydehi-Nagar-Vanasthalipuram/040PXX40-XX40-140910153030-A2X6_BZDET?xid=SHlkZXJhYmFkIENhcmVlciBDb3Vuc2VsbGluZyBDZW50cmVz"
"Gtpr Academy","3.9","
														246														Votes
			","Door No 101 to 105, 1st Floor, Kaveri Queens Plaza, Street No 3, Tarnaka, Hyderabad - 500007, Opposite Aradhana Theatre","+(91)-40-27016677","https://www.justdial.com/Hyderabad/Gtpr-Academy-Opposite-Aradhana-Theatre-Tarnaka/040PXX40-XX40-000529054169-M2R6_BZDET?xid=SHlkZXJhYmFkIENhcmVlciBDb3Vuc2VsbGluZyBDZW50cmVz"
"Career Launcher Ltd","4.5","
														243														Votes
			","Flat No 101, 1st Floor, My Home Lakshmi Nivas, Main Road, Ameerpet, Hyderabad - 500016, Opposite Dr Reddy Labs","+(91)-040-42624070","https://www.justdial.com/Hyderabad/Career-Launcher-Ltd-Opposite-Dr-Reddy-Labs-Ameerpet/040PXX40-XX40-150618113129-U1W2_BZDET?xid=SHlkZXJhYmFkIENhcmVlciBDb3Vuc2VsbGluZyBDZW50cmVz"
"Alkarimi Consultants","3.5","
														205														Votes
			","Flat No 405, 4th Floor, Altoos A & M Trade Centre, Himayat Nagar, Hyderabad - 500029, Beside Mc Donalds","+(91)-40-66770337","https://www.justdial.com/Hyderabad/Alkarimi-Consultants-Beside-Mc-Donalds-Himayat-Nagar/040PF004691_BZDET?xid=SHlkZXJhYmFkIENhcmVlciBDb3Vuc2VsbGluZyBDZW50cmVz"
"Bolster Solutions Pvt Ltd","3.9","
														163														Votes
			","House No 3-6-518 & 519,Plot 007, 1st Floor, Sai Pragati Towers, Himayat Nagar, Hyderabad - 500029, Opposite to Kfc, Beside Mebaz","+(91)-040-60602828","https://www.justdial.com/Hyderabad/Bolster-Solutions-Pvt-Ltd-Opposite-to-Kfc-Beside-Mebaz-Himayat-Nagar/040PXX40-XX40-121004103136-K6R4_BZDET?xid=SHlkZXJhYmFkIENhcmVlciBDb3Vuc2VsbGluZyBDZW50cmVz"
"Pearson Professional Center..","3.8","
														151														Votes
			","Door No 1-10-72/A/2, 3rd Floor, Pochampally House, Begumpet, Hyderabad - 500016, Above Nike Showroom, Opposite Shoppers Stop","+(91)-40-42400470","https://www.justdial.com/Hyderabad/Pearson-Professional-Centers-Above-Nike-Showroom-Opposite-Shoppers-Stop-Begumpet/040P1222168210G5A1G3_BZDET?xid=SHlkZXJhYmFkIENhcmVlciBDb3Vuc2VsbGluZyBDZW50cmVz"
