"name","rating","votes","address","phone","link"
"Amrita Chakrabarti","4.6","
														19														Votes
			","South City Residance, Tower 4, Flat 12h, Jodhpur Park, Kolkata - 700068, Near South City Mall","+(91)-9152198311","https://www.justdial.com/Kolkata/Amrita-Chakrabarti-Near-South-City-Mall-Jodhpur-Park/033PXX33-XX33-130711095347-U2Z7_BZDET?xid=S29sa2F0YSBDYXJlZXIgQ291bnNlbGxpbmcgQ2VudHJlcw=="
"Dr. Sunita Kumar","4.1","
														16														Votes
			","699-D,Block P, 3rd Floor, New Alipur, Kolkata - 700053, Near Childrens O Block Park","+(91)-9152355571","https://www.justdial.com/Kolkata/Dr-Sunita-Kumar-Near-Childrens-O-Block-Park-New-Alipur/033PXX33-XX33-090410115609-C4H7_BZDET?xid=S29sa2F0YSBDYXJlZXIgQ291bnNlbGxpbmcgQ2VudHJlcw=="
"Metro Institute Coaching Ce..","5.0","
														121														Votes
			","883/25 Jessore Road, Lake Town, Bangur Avenue, Kolkata - 700055, China Mandir","+(91)-7980473107","https://www.justdial.com/Kolkata/Metro-Institute-Coaching-Centre-Career-Counselling-China-Mandir-Bangur-Avenue/033PXX33-XX33-190613171335-N2L4_BZDET?xid=S29sa2F0YSBDYXJlZXIgQ291bnNlbGxpbmcgQ2VudHJlcw=="
"GenXCareer","5.0","
														2														Votes
			","53B, LANSDOWNE TERRACE, Kolkata - 700026, NEAR MICROLAP NURSING HOME","+(91)-9152475163","https://www.justdial.com/Kolkata/GenXCareer-NEAR-MICROLAP-NURSING-HOME/033PXX33-XX33-190630195525-H7Z1_BZDET?xid=S29sa2F0YSBDYXJlZXIgQ291bnNlbGxpbmcgQ2VudHJlcw=="
"Wisdom Education & Placemen..","4.5","
														3														Votes
			","No 5/1 Lansdown  Place, Rash Behari Avenue, Kolkata - 700029, Beside Bridge International School","+(91)-9152357266","https://www.justdial.com/Kolkata/Wisdom-Education-Placement-Consultancy-Beside-Bridge-International-School-Rash-Behari-Avenue/033PXX33-XX33-200207161842-I2V5_BZDET?xid=S29sa2F0YSBDYXJlZXIgQ291bnNlbGxpbmcgQ2VudHJlcw=="
"Mukherjee Management Consul..","4.2","
														122														Votes
			","Pioneer Super Market, Krishna Nagar Road, Barasat, Kolkata - 700124, Near Pioneer Park","+(91)-9152166673","https://www.justdial.com/Kolkata/Mukherjee-Management-Consultancy-(MMC)-Near-Pioneer-Park-Barasat/033PXX33-XX33-151102120421-P8S8_BZDET?xid=S29sa2F0YSBDYXJlZXIgQ291bnNlbGxpbmcgQ2VudHJlcw=="
"Bureau Of Guidance And Beha..","3.5","
														2														Votes
			","333/1, Sagarika Appartment, Jessore Road, Laketown, Kolkata - 700089, Near UCO Bank","+(91)-9152242784","https://www.justdial.com/Kolkata/Bureau-Of-Guidance-And-Behavioral-Research-Near-UCO-Bank-Laketown/033PXX33-XX33-190618132851-E3N4_BZDET?xid=S29sa2F0YSBDYXJlZXIgQ291bnNlbGxpbmcgQ2VudHJlcw=="
"Scholars Mojo","4.9","
														42														Votes
			","Signet Towers, 9th Floor, DN-2, DN Block, Salt Lake City Sector 5, Kolkata - 700091, Near College More","+(91)-9152607238","https://www.justdial.com/Kolkata/Scholars-Mojo-Near-College-More-Salt-Lake-City-Sector-5/033PXX33-XX33-190113210502-X9F9_BZDET?xid=S29sa2F0YSBDYXJlZXIgQ291bnNlbGxpbmcgQ2VudHJlcw=="
"Dr. Prathama Chaudhuri","4.3","
														52														Votes
			","P - 345 Suraksha Polyclinic, C I T Road Phoolbagan, Kankurgachi, Kolkata - 700054, Beside Kankurgachi Pantaloons","+(91)-9152158599","https://www.justdial.com/Kolkata/Dr-Prathama-Chaudhuri-Beside-Kankurgachi-Pantaloons-Kankurgachi/033PXX33-XX33-090813115927-D2W2_BZDET?xid=S29sa2F0YSBDYXJlZXIgQ291bnNlbGxpbmcgQ2VudHJlcw=="
"Career Dna","3.5","
														2														Votes
			","76 B,  Lake View Road, 2nd Floor, Sarat Bose Road, Kolkata - 700029, Next to Clini Test Laboratory","+(91)-9152925556","https://www.justdial.com/Kolkata/Career-Dna-Next-to-Clini-Test-Laboratory-Sarat-Bose-Road/033PXX33-XX33-181129151806-K8S4_BZDET?xid=S29sa2F0YSBDYXJlZXIgQ291bnNlbGxpbmcgQ2VudHJlcw=="
