"name","rating","votes","address","phone","link"
"Brainwonders","4.8","
														1006														Votes
			","A101, Suchita Enclave, Chandawarkar Road, Borivali West, Mumbai - 400092, Maharashtra Nagar, Near Girgaon Restaurant","+(91)-9152234439","https://www.justdial.com/Mumbai/Brainwonders-Maharashtra-Nagar-Near-Girgaon-Restaurant-Borivali-West/022PXX22-XX22-130321114204-A9D7_BZDET?xid=TXVtYmFpIENhcmVlciBDb3Vuc2VsbGluZyBDZW50cmVz"
"Brainwonders","4.9","
														13														Votes
			","Ajay Apts, Flat 11/12, 1st Floor, 28A S V Road, Santacruz West, Mumbai - 400054, Opp St Teresas High  School and Vodafone Store & Above Oriental Bank Of Commerce","+(91)-9152776986","https://www.justdial.com/Mumbai/Brainwonders-Opp-St-Teresas-High-School-and-Vodafone-Store-Above-Oriental-Bank-Of-Commerce-Santacruz-West/022PXX22-XX22-190611115128-C9A8_BZDET?xid=TXVtYmFpIENhcmVlciBDb3Vuc2VsbGluZyBDZW50cmVz"
"Brainwonders","4.8","
														35														Votes
			","D/4, Sai Ganesh Society, Plot No 711, Charkop,Sector 7, Kandivali West, Mumbai - 400067, Near Balaji Temple","+(91)-9152405412","https://www.justdial.com/Mumbai/Brainwonders-Near-Balaji-Temple-Kandivali-West/022PXX22-XX22-190423112050-Z9M3_BZDET?xid=TXVtYmFpIENhcmVlciBDb3Vuc2VsbGluZyBDZW50cmVz"
"Brainspades","4.8","
														18														Votes
			","Office No. 602 Damodar Building, Station Road, Thane West, Thane - 400602, Near Dutta Mandir, Behind Ashok  Talkies","+(91)-9152891640","https://www.justdial.com/Mumbai/Brainspades-Near-Dutta-Mandir-Behind-Ashok-Talkies-Thane-West/022PXX22-XX22-180802174044-E4B2_BZDET?xid=TXVtYmFpIENhcmVlciBDb3Vuc2VsbGluZyBDZW50cmVz"
"Inpsync Health Services Pvt..","3.5","
														2														Votes
			","408, Marathon Icon,, Off Ganpat Kadam Marg, Lower Parel, Mumbai - 400013, Opposite Peninsula Corporate Park","+(91)-9152831435","https://www.justdial.com/Mumbai/Inpsync-Health-Services-Pvt-Ltd-Opposite-Peninsula-Corporate-Park-Lower-Parel/022PXX22-XX22-190611203011-T6W7_BZDET?xid=TXVtYmFpIENhcmVlciBDb3Vuc2VsbGluZyBDZW50cmVz"
"Mindsaid Learning Centre","4.5","
														5														Votes
			","A/102 Royal Sand Building, Shastri Nagar, Andheri West, Mumbai - 400053, Near Rajesh Classic Building No 5 Behind Infinity Mall","+(91)-9152886922","https://www.justdial.com/Mumbai/Mindsaid-Learning-Centre-Near-Rajesh-Classic-Building-No-5-Behind-Infinity-Mall-Andheri-West/022PXX22-XX22-190903174050-S7K4_BZDET?xid=TXVtYmFpIENhcmVlciBDb3Vuc2VsbGluZyBDZW50cmVz"
"Proficient Counselling Corp..","4.8","
														22														Votes
			","Hiranandani Estate Patli Pada, G B Road, Thane West, Thane - 400607, Near Hiranandani Hospital","+(91)-9152369905","https://www.justdial.com/Mumbai/Proficient-Counselling-Corporation-Near-Hiranandani-Hospital-Thane-West/022PXX22-XX22-130206142722-A9V8_BZDET?xid=TXVtYmFpIENhcmVlciBDb3Vuc2VsbGluZyBDZW50cmVz"
"Ant Academy","3.5","
														2														Votes
			","303, T-Square Saki Vihar Road, Saki Vihar Road, Andheri East, Mumbai - 400072, Opposite to Chandivali Petrol Pump","+(91)-9152963508","https://www.justdial.com/Mumbai/Ant-Academy-Opposite-to-Chandivali-Petrol-Pump-Andheri-East/022PXX22-XX22-200228195923-P7J5_BZDET?xid=TXVtYmFpIENhcmVlciBDb3Vuc2VsbGluZyBDZW50cmVz"
"Providence Education Adviso..","4.7","
														58														Votes
			","10, Aloka, Nerul East, Sector 21, Ring Road -5, Nerul, Navi Mumbai - 400706, Near D Mart","+(91)-9004042968","https://www.justdial.com/Mumbai/Providence-Education-Advisory-Near-D-Mart-Nerul/022PXX22-XX22-161114194502-A4L3_BZDET?xid=TXVtYmFpIENhcmVlciBDb3Vuc2VsbGluZyBDZW50cmVz"
"Brainwonders","4.8","
														13														Votes
			","Ganga Heritage Ground Floor, Bhandarkar Road, Near Pramanik Stores, Matunga East, Mumbai - 400019, Near Station","+(91)-9152586776","https://www.justdial.com/Mumbai/Brainwonders-Near-Station-Matunga-East/022PXX22-XX22-200124140720-Y8V7_BZDET?xid=TXVtYmFpIENhcmVlciBDb3Vuc2VsbGluZyBDZW50cmVz"
"Brainwonders","3.5","
														2														Votes
			","Shop No L 127, Ground Floor, Dreams Mall, LBS Marg, Bhandup West, mumbai - 400078","+(91)-9152198779","https://www.justdial.com/Mumbai/Brainwonders-Bhandup-West/022PXX22-XX22-200124142805-K3T6_BZDET?xid=TXVtYmFpIENhcmVlciBDb3Vuc2VsbGluZyBDZW50cmVz"
"Sachin Bhatnagars The Caree..","5.0","
														1212														Votes
			","Wall Street ,4th Floor,A Wing,, Chakala,Andheri-Kurla Road, Andheri East, Mumbai - 400093","+(91)-9302510470","https://www.justdial.com/Mumbai/Sachin-Bhatnagars-The-Career-Counselling-Centre-Andheri-East/022PXX22-XX22-180928164244-X8V3_BZDET?xid=TXVtYmFpIENhcmVlciBDb3Vuc2VsbGluZyBDZW50cmVz"
"Brainwonders","3.0","
														2														Votes
			","A6/802, HYDE Park, Kharghar, Navi Mumbai - 410210, Near Sector 35g","+(91)-9152451810","https://www.justdial.com/Mumbai/Brainwonders-Near-Sector-35g-Kharghar/022PXX22-XX22-200124143949-B9Y1_BZDET?xid=TXVtYmFpIENhcmVlciBDb3Vuc2VsbGluZyBDZW50cmVz"
"Mind Care Clinic","4.4","
														15														Votes
			","Shop No P/104, Building No 9, Siddhart Nagar Co Operative Housing Society Ltd, Mira Road, Thane - 401107, Opposite Snehanjali Showroom, Sheetal Nagar","+(91)-9152219916","https://www.justdial.com/Mumbai/Mind-Care-Clinic-Opposite-Snehanjali-Showroom-Sheetal-Nagar-Mira-Road/022PXX22-XX22-140723170301-K5R6_BZDET?xid=TXVtYmFpIENhcmVlciBDb3Vuc2VsbGluZyBDZW50cmVz"
"Decode Your Brain","4.8","
														52														Votes
			","A/03 Prashva Shrusti Housing Complex Sector 1, Shrusti Sector 1, Mira Road, Thane - 401107, Back Side Of NL Dalmia School","+(91)-9137557045","https://www.justdial.com/Mumbai/Decode-Your-Brain-Back-Side-Of-NL-Dalmia-School-Mira-Road/022PXX22-XX22-190404103213-W9Z3_BZDET?xid=TXVtYmFpIENhcmVlciBDb3Vuc2VsbGluZyBDZW50cmVz"
"MindMoksh","4.7","
														20														Votes
			","A-20, Lok Kailash, ACC Rd., JSD, Mulund West, Mumbai - 400080, Opposite City Of Joy","+(91)-9152568612","https://www.justdial.com/Mumbai/MindMoksh-Opposite-City-Of-Joy-Mulund-West/022PXX22-XX22-190709155557-X6E7_BZDET?xid=TXVtYmFpIENhcmVlciBDb3Vuc2VsbGluZyBDZW50cmVz"
"Innate Talents","3.5","
														6														Votes
			","B 602, Ascona , Raheja Gardens, LBS Marg, Thane West, Thane - 400604, Opposite Tip Top Plaza","+(91)-9152376482","https://www.justdial.com/Mumbai/Innate-Talents-Opposite-Tip-Top-Plaza-Thane-West/022PXX22-XX22-090511184357-B7N4_BZDET?xid=TXVtYmFpIENhcmVlciBDb3Vuc2VsbGluZyBDZW50cmVz"
"Rahul Thaker","3.5","
														2														Votes
			","Shop No 1-A, Wing-B Ketki Aprtment Misquta Nagar, Swami Vivekanand Road, Dahisar, Mumbai - 400068, Near Swami Vevekanand School","+(91)-9152439949","https://www.justdial.com/Mumbai/Rahul-Thaker-Near-Swami-Vevekanand-School-Dahisar/022PXX22-XX22-130831161437-H7X3_BZDET?xid=TXVtYmFpIENhcmVlciBDb3Vuc2VsbGluZyBDZW50cmVz"
