"name","rating","votes","address","phone","link"
"Loratis Setmycareer.net Pvt..","4.8","
														619														Votes
			","Office No 11 First Floor Madhu Vrindavan Building, Modern College Road, Shivaji Nagar, Pune - 411005, Next to Shrinath Plaza Dnyaneshwar Paduka Chowk","+(91)-9152927005","https://www.justdial.com/Pune/Loratis-Setmycareer-net-Pvt-ltd-Next-to-Shrinath-Plaza-Dnyaneshwar-Paduka-Chowk-Shivaji-Nagar/020PXX20-XX20-130330161244-K6D2_BZDET?xid=UHVuZSBDYXJlZXIgQ291bnNlbGxpbmcgQ2VudHJlcw=="
"Sachin Bhatnagars The Caree..","5.0","
														1162														Votes
			","Bund Garden Road, Magarpatta City, Camp, Pune - 411001","+(91)-9302510470","https://www.justdial.com/Pune/Sachin-Bhatnagars-The-Career-Counselling-Centre-Camp/020PXX20-XX20-180928164009-A4D8_BZDET?xid=UHVuZSBDYXJlZXIgQ291bnNlbGxpbmcgQ2VudHJlcw=="
"Brainberg Knowledge Service..","4.5","
														18														Votes
			","Flat No 1, Ground Floor, Bhosale Terrace, Sr No 1202/3, Shirole Road, Shivaji Nagar, Pune - 411005, Opposite Deccan Rendezvous, Opposite Apte Road","+(91)-9152800417","https://www.justdial.com/Pune/Brainberg-Knowledge-Services-LLP-Opposite-Deccan-Rendezvous-Opposite-Apte-Road-Shivaji-Nagar/020PXX20-XX20-190404112040-J9H6_BZDET?xid=UHVuZSBDYXJlZXIgQ291bnNlbGxpbmcgQ2VudHJlcw=="
"Profilesketch.com","5.0","
														5														Votes
			","Ajinkyatara Apartment, Sinhgad Road, Ganeshmala, Pune - 411030, Near Sawai Hotel","+(91)-9152916153","https://www.justdial.com/Pune/Profilesketch-com-Near-Sawai-Hotel-Ganeshmala/020PXX20-XX20-190806182502-Z6Y5_BZDET?xid=UHVuZSBDYXJlZXIgQ291bnNlbGxpbmcgQ2VudHJlcw=="
"Bright Vision Brain Develop..","4.8","
														2														Votes
			","A For Apple Nursary Purnanagar , Prashant Plaza ,Ground Floor, Shahu Nagar-Chinchwad East, Pune - 411019, Behind PCMC RTO","+(91)-9152841261","https://www.justdial.com/Pune/Bright-Vision-Brain-Development-Dmit-Center-Behind-PCMC-RTO-Shahu-Nagar-Chinchwad-East/020PXX20-XX20-180119120615-I5C1_BZDET?xid=UHVuZSBDYXJlZXIgQ291bnNlbGxpbmcgQ2VudHJlcw=="
"Kaushalyum LLP","5.0","
														2														Votes
			","Premlok Park, Chinchwad, Pune - 411033, Behind Tata Motors, Near Skf Company","+(91)-9152290954","https://www.justdial.com/Pune/Kaushalyum-LLP-Behind-Tata-Motors-Near-Skf-Company-Chinchwad/020PXX20-XX20-170320195329-Z6A3_BZDET?xid=UHVuZSBDYXJlZXIgQ291bnNlbGxpbmcgQ2VudHJlcw=="
"Pahal Design","4.7","
														154														Votes
			","G F Behind Royal Tourist, Karve Road, Kothrud, Pune - 411038, Karve Statue Near Sheetal Hotel","+(91)-9152291404","https://www.justdial.com/Pune/Pahal-Design-Karve-Statue-Near-Sheetal-Hotel-Kothrud/020PXX20-XX20-140630213717-U7L4_BZDET?xid=UHVuZSBDYXJlZXIgQ291bnNlbGxpbmcgQ2VudHJlcw=="
"Milind Academy","4.2","
														56														Votes
			","Off No 11 Chinar Apprtment, Agriculture College Rd, Shivaji Nagar, Pune - 411005, Opp Bhavkar Bhavan","+(91)-9152619304","https://www.justdial.com/Pune/Milind-Academy-Opp-Bhavkar-Bhavan-Shivaji-Nagar/020PXX20-XX20-090626131541-H9A8_BZDET?xid=UHVuZSBDYXJlZXIgQ291bnNlbGxpbmcgQ2VudHJlcw=="
"Mind Skill Melody","5.0","
														6														Votes
			","A -9,Flat 807,Bramha Avenue, Shivneri Road, Kondhwa Khurd, Pune - 411048, Near Jyoti Restaurant","+(91)-9152856528","https://www.justdial.com/Pune/Mind-Skill-Melody-Near-Jyoti-Restaurant-Kondhwa-Khurd/020PXX20-XX20-150114195502-N7R8_BZDET?xid=UHVuZSBDYXJlZXIgQ291bnNlbGxpbmcgQ2VudHJlcw=="
"Abhinav Career Scope","4.8","
														149														Votes
			","Microcomm Infotech, Pushpa Apartment, 3rd Floor, Kothrud, Pune - 411038, Above Union Bank, Vanaz Corner, Nr Kinara Hotel, Paud Road","+(91)-9152496974","https://www.justdial.com/Pune/Abhinav-Career-Scope-Above-Union-Bank-Vanaz-Corner-Nr-Kinara-Hotel-Paud-Road-Kothrud/020PXX20-XX20-121210172652-N4L8_BZDET?xid=UHVuZSBDYXJlZXIgQ291bnNlbGxpbmcgQ2VudHJlcw=="
